Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons
Enabled,"""カレー屋 十条""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""biryani near me""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""ビリヤニ 北区""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""テイクアウト 十条""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""curry near me""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""halal restaurant near me""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,カレー 近く,Broad match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""ランチ 東十条""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""halal food near me""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""テイクアウト カレー 十条""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Not eligible,rarely served
Enabled,"""カレー 十条""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""インドカレー 北区""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""ネパール料理 十条""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""ビリヤニ 十条""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""ナン カレー 十条""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Not eligible,rarely served
Enabled,"""インド料理 北区""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""デリバリー カレー 北区""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Not eligible,rarely served
Enabled,"""nepali restaurant near me""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,インドカレー 近く,Broad match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""indian restaurant near me""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""カレー 板橋本町""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,インド料理 近く,Broad match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""インド料理 十条""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""ハラル 十条""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""インドカレー 東十条""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,ハラル 近く,Broad match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""インドカレー 十条""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""インドカレー 王子""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,"""カレー 東十条""",Phrase match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
Enabled,ビリヤニ 近く,Broad match,UZ — Search — Kita-ku (Jujo),Ad group 1,Eligible,
